贴吧名称,贴吧地址,回复条数,帖子地址,帖子主题,帖子作者,作者id,作者首页地址,帖子创建时间,贴子内容,帖子最近回复人,帖子最近回复人首页地址,帖子最后回复时间
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,14,https://tieba.baidu.com/p/7100198124,学了大半年的摄影,王小布✨,1336757808,https://tieba.baidu.com/home/main/?un=Amani%E7%8E%8B%E5%B0%8F%E5%B8%83&ie=utf-8&id=tb.1.7c9b9320.DDEwOhHRhUyHnpQ_KN-1qg&fr=frs,2020-11-20 02:27,nan,碳纖維鋼化包子,https://tieba.baidu.com/home/main/?un=%E7%A2%B3%E7%BA%96%E7%B6%AD%E9%8B%BC%E5%8C%96%E5%8C%85%E5%AD%90&ie=utf-8&id=tb.1.75f66c42.KpOco9HxnTpYIgz3IPuwVQ&fr=frs,2020-11-20 22:44
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,7,https://tieba.baidu.com/p/6971682034,佳能eos rp，采用的电子取景器，话说用闪光灯棚拍的时候咋,无y所w谓,2648795811,https://tieba.baidu.com/home/main/?un=%E6%97%A0y%E6%89%80w%E8%B0%93&ie=utf-8&id=tb.1.1db6b0e8.x9S7UyeS2JGEnP_Pl4ju-A&fr=frs,9-21,nan,诗炎浩然,https://tieba.baidu.com/home/main/?un=%E8%AF%97%E7%82%8E%E6%B5%A9%E7%84%B6&ie=utf-8&id=tb.1.93d9d32c.gHQrtkAW_gQN0BR0wE0grA&fr=frs,2020-11-20 22:41
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,0,https://tieba.baidu.com/p/7102098098,手机怎么拍摄啊 最近喜欢夜景的照片但是不知道怎么调整数据 求带,再堤筒好以亢,834134784,https://tieba.baidu.com/home/main/?un=%E5%86%8D%E5%A0%A4%E7%AD%92%E5%A5%BD%E4%BB%A5%E4%BA%A2&ie=utf-8&id=tb.1.fe589a3d.Rcyaeo0xX5_B9Xpcp9IOaQ&fr=frs,2020-11-20 22:34,nan,再堤筒好以亢,https://tieba.baidu.com/home/main/?un=%E5%86%8D%E5%A0%A4%E7%AD%92%E5%A5%BD%E4%BB%A5%E4%BA%A2&ie=utf-8&id=tb.1.fe589a3d.Rcyaeo0xX5_B9Xpcp9IOaQ&fr=frs,2020-11-20 22:34
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,13,https://tieba.baidu.com/p/7100879212,4亿像素！富士相机能否称王，就在这一天！,oidajustice,2845308,https://tieba.baidu.com/tbmall/tshow,2020-11-20 12:31,nan,东周列国春秋,https://tieba.baidu.com/home/main/?un=%E4%B8%9C%E5%91%A8%E5%88%97%E5%9B%BD%E6%98%A5%E7%A7%8B&ie=utf-8&id=tb.1.4319235.xrC2SntafzdHOjQ-LqCmiA&fr=frs,2020-11-20 22:33
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,1,https://tieba.baidu.com/p/7102025501,全画幅和残幅差别很大吗,林中之象😘,4505787107,https://tieba.baidu.com/home/main/?un=%E8%91%B5%E6%AA%91&ie=utf-8&id=tb.1.67165c5b.d2maKeneLwG0HNUM2jMkGQ&fr=frs,2020-11-20 21:53,nan,林中之象😘,https://tieba.baidu.com/home/main/?un=%E8%91%B5%E6%AA%91&ie=utf-8&id=tb.1.67165c5b.d2maKeneLwG0HNUM2jMkGQ&fr=frs,2020-11-20 22:18
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,0,https://tieba.baidu.com/p/7102035262,摄影新手，求大佬指导,S-A-T,2595180290,https://tieba.baidu.com/home/main/?un=XIANGSHANMU9&ie=utf-8&id=tb.1.59233c81.ecVY_Kv-d0QpvoXndW90RQ&fr=frs,2020-11-20 21:59,nan,S-A-T,https://tieba.baidu.com/home/main/?un=XIANGSHANMU9&ie=utf-8&id=tb.1.59233c81.ecVY_Kv-d0QpvoXndW90RQ&fr=frs,2020-11-20 21:59
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,3,https://tieba.baidu.com/p/7091994875,求助帖,情杀计划,2405401669,https://tieba.baidu.com/home/main/?un=%E6%83%85%E6%9D%80%E8%AE%A1%E5%88%92&ie=utf-8&id=tb.1.36324af6.DTGD2WhaojXvDmBkxGqPpg&fr=frs,11-16,nan,⛅閑雲野鹤⛅,https://tieba.baidu.com/home/main/?un=user_monkeys&ie=utf-8&id=tb.1.14d14901.lRPShHR0NG09kEOoOkYZ2w&fr=frs,2020-11-20 22:04
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,72,https://tieba.baidu.com/p/7093962836,色调，构图方面有什么可以指导下我的吗，新手上路，色调会不会太,KG信,3145771374,https://tieba.baidu.com/home/main/?un=KG%E4%BF%A1&ie=utf-8&id=tb.1.35d5f2d2.57KnQSPlz_Z7hn8KGp3QhQ&fr=frs,11-17,nan,KG信,https://tieba.baidu.com/home/main/?un=KG%E4%BF%A1&ie=utf-8&id=tb.1.35d5f2d2.57KnQSPlz_Z7hn8KGp3QhQ&fr=frs,2020-11-20 22:05
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,6,https://tieba.baidu.com/p/7093392242,请大家指点,acoder🔯,345151889,https://tieba.baidu.com/home/main/?un=acoder1983&ie=utf-8&id=tb.1.d6e871b6.SJ8_I1y2MYfbKWeJYV_Diw&fr=frs,11-17,nan,acoder🔯,https://tieba.baidu.com/home/main/?un=acoder1983&ie=utf-8&id=tb.1.d6e871b6.SJ8_I1y2MYfbKWeJYV_Diw&fr=frs,2020-11-20 22:03
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,7,https://tieba.baidu.com/p/7078179269,谁来点评一下？苹果8+后期调了一下。拍照业务，好坏随机,千秋ct♂,2058160976,https://tieba.baidu.com/home/main/?un=%E5%8D%83%E7%A7%8B%E7%A6%BB%E5%90%88ct&ie=utf-8&id=tb.1.2cf0a791.2VU83Nnrhb7iZV-Hp5kajg&fr=frs,11-9,nan,千秋ct♂,https://tieba.baidu.com/home/main/?un=%E5%8D%83%E7%A7%8B%E7%A6%BB%E5%90%88ct&ie=utf-8&id=tb.1.2cf0a791.2VU83Nnrhb7iZV-Hp5kajg&fr=frs,11-19
